"Month","Year","IGR","GDP","DIGR","DGDP"
"Jan","2015",0.73,0.2,NA,NA
"Feb","2015",0.74,0.2,0.01,0
"Mar","2015",0.75,0.21,0.01,0.00999999999999998
"Apr","2015",0.79,0.21,0.04,0
"May","2015",0.81,0.22,0.02,0.01
"Jun","2015",0.82,0.22,0.0099999999999999,0
"Jul","2015",0.76,0.23,-0.0599999999999999,0.01
"Aug","2015",0.77,0.24,0.01,0.00999999999999998
"Sep","2015",0.79,0.25,0.02,0.01
"Oct","2015",1.01,0.26,0.22,0.01
"Nov","2015",1.03,0.26,0.02,0
"Dec","2015",1.05,0.27,0.02,0.01
"Jan","2016",0.63,0.21,-0.42,-0.06
"Feb","2016",0.64,0.21,0.01,0
"Mar","2016",0.65,0.22,0.01,0.01
"Apr","2016",0.69,0.22,0.0399999999999999,0
"May","2016",0.7,0.23,0.01,0.01
"Jun","2016",0.71,0.23,0.01,0
"Jul","2016",0.66,0.24,-0.0499999999999999,0.00999999999999998
"Aug","2016",0.67,0.25,0.01,0.01
"Sep","2016",0.69,0.26,0.0199999999999999,0.01
"Oct","2016",0.88,0.27,0.19,0.01
"Nov","2016",0.9,0.27,0.02,0
"Dec","2016",0.91,0.28,0.01,0.01
"Jan","2017",0.8,0.24,-0.11,-0.04
"Feb","2017",0.81,0.24,0.01,0
"Mar","2017",0.82,0.25,0.0099999999999999,0.01
"Apr","2017",0.86,0.25,0.04,0
"May","2017",0.89,0.26,0.03,0.01
"Jun","2017",0.9,0.26,0.01,0
"Jul","2017",0.83,0.27,-0.0700000000000001,0.01
"Aug","2017",0.84,0.28,0.01,0.01
"Sep","2017",0.86,0.29,0.02,0.00999999999999995
"Oct","2017",1.1,0.3,0.24,0.01
"Nov","2017",1.13,0.31,0.0299999999999998,0.01
"Dec","2017",1.15,0.32,0.02,0.01
"Jan","2018",1.81,0.27,0.66,-0.05
"Feb","2018",1.83,0.27,0.02,0
"Mar","2018",1.86,0.28,0.03,0.01
"Apr","2018",1.95,0.28,0.0899999999999999,0
"May","2018",2,0.29,0.05,0.00999999999999995
"Jun","2018",2.03,0.29,0.0299999999999998,0
"Jul","2018",1.88,0.3,-0.15,0.01
"Aug","2018",1.91,0.31,0.03,0.01
"Sep","2018",1.95,0.32,0.04,0.01
"Oct","2018",2.5,0.33,0.55,0.01
"Nov","2018",2.55,0.34,0.0499999999999998,0.01
"Dec","2018",2.6,0.35,0.0500000000000003,0.00999999999999995
"Jan","2019",2.2,0.3,-0.4,-0.05
"Feb","2019",2.23,0.3,0.0299999999999998,0
"Mar","2019",2.26,0.31,0.0299999999999998,0.01
"Apr","2019",2.38,0.31,0.12,0
"May","2019",2.45,0.32,0.0700000000000003,0.01
"Jun","2019",2.48,0.32,0.0299999999999998,0
"Jul","2019",2.29,0.33,-0.19,0.01
"Aug","2019",2.32,0.34,0.0299999999999998,0.01
"Sep","2019",2.38,0.35,0.0600000000000001,0.00999999999999995
"Oct","2019",3.05,0.37,0.67,0.02
"Nov","2019",3.11,0.38,0.0600000000000001,0.01
"Dec","2019",3.17,0.39,0.0600000000000001,0.01
"Jan","2020",1.81,0.31,-1.36,-0.08
"Feb","2020",1.84,0.31,0.03,0
"Mar","2020",1.86,0.32,0.02,0.01
"Apr","2020",1.96,0.32,0.0999999999999999,0
"May","2020",2.01,0.33,0.0499999999999998,0.01
"Jun","2020",2.04,0.33,0.0300000000000002,0
"Jul","2020",1.89,0.34,-0.15,0.01
"Aug","2020",1.91,0.35,0.02,0.00999999999999995
"Sep","2020",1.96,0.36,0.05,0.01
"Oct","2020",2.51,0.38,0.55,0.02
"Nov","2020",2.56,0.39,0.0500000000000003,0.01
"Dec","2020",2.61,0.4,0.0499999999999998,0.01
"Jan","2021",2.25,0.36,-0.36,-0.04
"Feb","2021",2.28,0.36,0.0299999999999998,0
"Mar","2021",2.31,0.37,0.0300000000000002,0.01
"Apr","2021",2.44,0.38,0.13,0.01
"May","2021",2.5,0.39,0.0600000000000001,0.01
"Jun","2021",2.53,0.39,0.0299999999999998,0
"Jul","2021",2.34,0.4,-0.19,0.01
"Aug","2021",2.37,0.41,0.0300000000000002,0.00999999999999995
"Sep","2021",2.44,0.43,0.0699999999999998,0.02
"Oct","2021",3.11,0.44,0.67,0.01
"Nov","2021",3.18,0.45,0.0700000000000003,0.01
"Dec","2021",3.24,0.47,0.0600000000000001,0.02
"Jan","2022",2.38,0.42,-0.86,-0.05
"Feb","2022",2.41,0.42,0.0300000000000002,0
"Mar","2022",2.46,0.43,0.0499999999999998,0.01
"Apr","2022",2.57,0.44,0.11,0.01
"May","2022",2.64,0.45,0.0700000000000003,0.01
"Jun","2022",2.67,0.46,0.0299999999999998,0.01
"Jul","2022",2.48,0.47,-0.19,0.00999999999999995
"Aug","2022",2.51,0.48,0.0299999999999998,0.01
"Sep","2022",2.58,0.5,0.0700000000000003,0.02
"Oct","2022",3.3,0.52,0.72,0.02
"Nov","2022",3.36,0.53,0.0600000000000001,0.01
"Dec","2022",3.44,0.55,0.0800000000000001,0.02
"Jan","2023",2.93,0.5,-0.51,-0.05
"Feb","2023",2.97,0.51,0.04,0.01
"Mar","2023",3.01,0.52,0.0399999999999996,0.01
"Apr","2023",3.17,0.53,0.16,0.01
"May","2023",3.25,0.54,0.0800000000000001,0.01
"Jun","2023",3.29,0.55,0.04,0.01
"Jul","2023",3.05,0.57,-0.24,0.0199999999999999
"Aug","2023",3.09,0.58,0.04,0.01
"Sep","2023",3.17,0.6,0.0800000000000001,0.02
"Oct","2023",4.05,0.62,0.88,0.02
"Nov","2023",4.13,0.63,0.0800000000000001,0.01
"Dec","2023",4.21,0.66,0.0800000000000001,0.03
"Jan","2024",3.42,0.61,-0.79,-0.05
"Feb","2024",3.46,0.62,0.04,0.01
"Mar","2024",3.51,0.63,0.0499999999999998,0.01
"Apr","2024",3.7,0.65,0.19,0.02
"May","2024",3.79,0.66,0.0899999999999999,0.01
"Jun","2024",3.84,0.67,0.0499999999999998,0.01
"Jul","2024",3.56,0.69,-0.28,0.0199999999999999
"Aug","2024",3.6,0.71,0.04,0.02
"Sep","2024",3.7,0.73,0.1,0.02
"Oct","2024",4.73,0.75,1.03,0.02
"Nov","2024",4.82,0.77,0.0899999999999999,0.02
"Dec","2024",4.91,0.8,0.0899999999999999,0.03
